Type,Name,Component,Amount
Frigate,Burst II,Lustering Alloy,3044
Frigate,Burst II,Gleaming Alloy,3064
Frigate,Burst II,Fiber Composite,3471
Frigate,Burst II,Reactive Metals,864
Frigate,Burst II,Noble Metals,3471
Frigate,Slasher II,Slasher II Blueprint,1
Frigate,Slasher II,Tritanium,39389
Frigate,Slasher II,Pyerite,7962
Frigate,Slasher II,Mexallon,3208
Frigate,Slasher II,Lustering Alloy,700
Frigate,Slasher II,Gleaming Alloy,705
Frigate,Slasher II,Motley Compound,705
Frigate,Slasher II,Base Metals,210
Frigate,Slasher II,Noble Metals,798
Frigate,Slasher Interceptor,Slasher Interceptor Blueprint,1
Frigate,Slasher Interceptor,Tritanium,1612402
Frigate,Slasher Interceptor,Pyerite,451882
Frigate,Slasher Interceptor,Mexallon,136694
Frigate,Slasher Interceptor,Isogen,29193
Frigate,Slasher Interceptor,Nocxium,8724
Frigate,Slasher Interceptor,Zydrine,2739
Frigate,Slasher Interceptor,Megacyte,1031
Frigate,Slasher Interceptor,Gleaming Alloy,4248
Frigate,Slasher Interceptor,Precious Alloy,3772
Frigate,Slasher Interceptor,Fiber Composite,4814
Frigate,Slasher Interceptor,Reactive Metals,1197
Frigate,Slasher Interceptor,Noble Metals,4814
Frigate,Slasher II Interceptor,Slasher II Interceptor Blueprint,1
Frigate,Slasher II Interceptor,Tritanium,6573327
Frigate,Slasher II Interceptor,Pyerite,2112479
Frigate,Slasher II Interceptor,Mexallon,582554
Frigate,Slasher II Interceptor,Isogen,116946
Frigate,Slasher II Interceptor,Nocxium,32274
Frigate,Slasher II Interceptor,Zydrine,10510
Frigate,Slasher II Interceptor,Megacyte,6203
Frigate,Slasher II Interceptor,Gleaming Alloy,15634
Frigate,Slasher II Interceptor,Precious Alloy,13880
Frigate,Slasher II Interceptor,Fiber Composite,17713
Frigate,Slasher II Interceptor,Reactive Metals,4405
Frigate,Slasher II Interceptor,Noble Metals,17713
Frigate,Breacher Assault,Breacher Assault Blueprint,1
Frigate,Breacher Assault,Tritanium,1339143
Frigate,Breacher Assault,Pyerite,276605
Frigate,Breacher Assault,Mexallon,100967
Frigate,Breacher Assault,Isogen,20371
Frigate,Breacher Assault,Nocxium,5899
Frigate,Breacher Assault,Zydrine,1591
Frigate,Breacher Assault,Gleaming Alloy,3910
Frigate,Breacher Assault,Precious Alloy,3472
Frigate,Breacher Assault,Fiber Composite,4430
Frigate,Breacher Assault,Reactive Metals,1102
Frigate,Breacher Assault,Noble Metals,4430
Frigate,Hound,Hound Blueprint,1
Frigate,Hound,Tritanium,550461
Frigate,Hound,Pyerite,126359
Frigate,Hound,Mexallon,43733
Frigate,Hound,Isogen,9705
Frigate,Hound,Nocxium,2459
Frigate,Hound,Lustering Alloy,2911
Frigate,Hound,Gleaming Alloy,2930
Frigate,Hound,Fiber Composite,3320
Frigate,Hound,Reactive Metals,826
Frigate,Hound,Noble Metals,3320
Frigate,Hound II,Hound II Blueprint,1
Frigate,Hound II,Tritanium,2737098
Frigate,Hound II,Pyerite,798066
Frigate,Hound II,Mexallon,249692
Frigate,Hound II,Isogen,39121
Frigate,Hound II,Nocxium,12818
Frigate,Hound II,Zydrine,4276
Frigate,Hound II,Megacyte,2401
Frigate,Hound II,Gleaming Alloy,10283
Frigate,Hound II,Precious Alloy,9130
Frigate,Hound II,Fiber Composite,11651
Frigate,Hound II,Reactive Metals,2897
Frigate,Hound II,Noble Metals,11651
Frigate,Probe Covert Ops,Probe Covert Ops Blueprint,1
Frigate,Probe Covert Ops,Tritanium,185970
Frigate,Probe Covert Ops,Pyerite,42427
Frigate,Probe Covert Ops,Mexallon,13512
Frigate,Probe Covert Ops,Isogen,2623
Frigate,Probe Covert Ops,Lustering Alloy,1065
Frigate,Probe Covert Ops,Gleaming Alloy,1072
Frigate,Probe Covert Ops,Motley Compound,1072
Frigate,Probe Covert Ops,Base Metals,320
Frigate,Probe Covert Ops,Noble Metals,1214
Frigate,Crucifier,Crucifier Blueprint,1
Frigate,Crucifier,Tritanium,48980
Frigate,Crucifier,Pyerite,8096
Frigate,Crucifier,Mexallon,3258
Frigate,Crucifier,Lustering Alloy,689
Frigate,Crucifier,Sheen Compound,743
Frigate,Crucifier,Motley Compound,694
Frigate,Crucifier,Base Metals,207
Frigate,Crucifier,Heavy Metals,743
Frigate,Inquisitor,Inquisitor Blueprint,1
Frigate,Inquisitor,Tritanium,204157
Frigate,Inquisitor,Pyerite,38089
Frigate,Inquisitor,Mexallon,12114
Frigate,Inquisitor,Isogen,1884
Frigate,Inquisitor,Lustering Alloy,925
Frigate,Inquisitor,Sheen Compound,997
Frigate,Inquisitor,Motley Compound,931
Frigate,Inquisitor,Base Metals,278
Frigate,Inquisitor,Heavy Metals,997
Frigate,Inquisitor II,Inquisitor II Blueprint,1
Frigate,Inquisitor II,Tritanium,743214
Frigate,Inquisitor II,Pyerite,139515
Frigate,Inquisitor II,Mexallon,48222
Frigate,Inquisitor II,Isogen,8569
Frigate,Inquisitor II,Nocxium,2368
Frigate,Inquisitor II,Lustering Alloy,3112
Frigate,Inquisitor II,Sheen Compound,3353
Frigate,Inquisitor II,Fiber Composite,3549
Frigate,Inquisitor II,Heavy Metals,3353
Frigate,Inquisitor II,Reactive Metals,883
Frigate,Executioner II,Executioner II Blueprint,1
Frigate,Executioner II,Tritanium,49543
Frigate,Executioner II,Pyerite,8189
Frigate,Executioner II,Mexallon,3296
Frigate,Executioner II,Lustering Alloy,697
Frigate,Executioner II,Sheen Compound,751
Frigate,Executioner II,Motley Compound,702
Frigate,Executioner II,Base Metals,210
Frigate,Executioner II,Heavy Metals,751
Frigate,Executioner Interceptor,Executioner Interceptor Blueprint,1
Frigate,Executioner Interceptor,Tritanium,2097627
Frigate,Executioner Interceptor,Pyerite,480738
Frigate,Executioner Interceptor,Mexallon,145228
Frigate,Executioner Interceptor,Isogen,24837
Frigate,Executioner Interceptor,Nocxium,8094
Frigate,Executioner Interceptor,Zydrine,2116
Frigate,Executioner Interceptor,Megacyte,1372
Frigate,Executioner Interceptor,Sheen Compound,4684
Frigate,Executioner Interceptor,Precious Alloy,3885
Frigate,Executioner Interceptor,Fiber Composite,4957
Frigate,Executioner Interceptor,Heavy Metals,4684
Frigate,Executioner Interceptor,Reactive Metals,1233
Frigate,Executioner II Interceptor,Executioner II Interceptor Blueprint,1
Frigate,Executioner II Interceptor,Tritanium,7802069
Frigate,Executioner II Interceptor,Pyerite,1933166
Frigate,Executioner II Interceptor,Mexallon,637386
Frigate,Executioner II Interceptor,Isogen,108460
Frigate,Executioner II Interceptor,Nocxium,29728
Frigate,Executioner II Interceptor,Zydrine,11092
Frigate,Executioner II Interceptor,Megacyte,5003
Frigate,Executioner II Interceptor,Sheen Compound,16289
Frigate,Executioner II Interceptor,Precious Alloy,13509
Frigate,Executioner II Interceptor,Fiber Composite,17240
Frigate,Executioner II Interceptor,Heavy Metals,16289
Frigate,Executioner II Interceptor,Reactive Metals,4287
Frigate,Punisher Assault,Punisher Assault Blueprint,1
Frigate,Punisher Assault,Tritanium,1861121
Frigate,Punisher Assault,Pyerite,314367
Frigate,Punisher Assault,Mexallon,114597
Frigate,Punisher Assault,Isogen,18515
Frigate,Punisher Assault,Nocxium,5848
Frigate,Punisher Assault,Zydrine,1313
Frigate,Punisher Assault,Sheen Compound,4606
Frigate,Punisher Assault,Precious Alloy,3820
Frigate,Punisher Assault,Fiber Composite,4875
Frigate,Punisher Assault,Heavy Metals,4606
Frigate,Punisher Assault,Reactive Metals,1212
Frigate,Purifier,Purifier Blueprint,1
Frigate,Purifier,Tritanium,708425
Frigate,Purifier,Pyerite,132985
Frigate,Purifier,Mexallon,45964
Frigate,Purifier,Isogen,8168
Frigate,Purifier,Nocxium,2257
Frigate,Purifier,Lustering Alloy,2966
Frigate,Purifier,Sheen Compound,3196
Frigate,Purifier,Fiber Composite,3382
Frigate,Purifier,Heavy Metals,3196
Frigate,Purifier,Reactive Metals,841
Frigate,Purifier II,Purifier II Blueprint,1
Frigate,Purifier II,Tritanium,2933503
Frigate,Purifier II,Pyerite,648228
Frigate,Purifier II,Mexallon,243299
Frigate,Purifier II,Isogen,46639
Frigate,Purifier II,Nocxium,10820
Frigate,Purifier II,Zydrine,4315
Frigate,Purifier II,Megacyte,2567
Frigate,Purifier II,Sheen Compound,11230
Frigate,Purifier II,Precious Alloy,9313
Frigate,Purifier II,Fiber Composite,11885
Frigate,Purifier II,Heavy Metals,11230
Frigate,Purifier II,Reactive Metals,2956
Frigate,Magnate Covert Ops,Magnate Covert Ops Blueprint,1
Frigate,Magnate Covert Ops,Tritanium,226274
Frigate,Magnate Covert Ops,Pyerite,42215
Frigate,Magnate Covert Ops,Mexallon,13426
Frigate,Magnate Covert Ops,Isogen,2088
Frigate,Magnate Covert Ops,Lustering Alloy,1026
Frigate,Magnate Covert Ops,Sheen Compound,1105
Frigate,Magnate Covert Ops,Motley Compound,1032
Frigate,Magnate Covert Ops,Base Metals,308
Frigate,Magnate Covert Ops,Heavy Metals,1105
Frigate,Maulus,Maulus Blueprint,1
Frigate,Maulus,Tritanium,36363
Frigate,Maulus,Pyerite,8757
Frigate,Maulus,Mexallon,3316
Frigate,Maulus,Lustering Alloy,667
Frigate,Maulus,Sheen Compound,719
Frigate,Maulus,Motley Compound,672
Frigate,Maulus,Base Metals,201
Frigate,Maulus,Heavy Metals,719
Frigate,Navitas,Navitas Blueprint,1
Frigate,Navitas,Tritanium,163076
Frigate,Navitas,Pyerite,44328
Frigate,Navitas,Mexallon,13265
Frigate,Navitas,Isogen,1921
Frigate,Navitas,Lustering Alloy,964
Frigate,Navitas,Sheen Compound,1039
Frigate,Navitas,Motley Compound,970
Frigate,Navitas,Base Metals,290
Frigate,Navitas,Heavy Metals,1039
Frigate,Navitas II,Navitas II Blueprint,1
Frigate,Navitas II,Tritanium,548634
Frigate,Navitas II,Pyerite,150053
Frigate,Navitas II,Mexallon,48799
Frigate,Navitas II,Isogen,8077
Frigate,Navitas II,Nocxium,2303
Frigate,Navitas II,Lustering Alloy,2996
Frigate,Navitas II,Sheen Compound,3228
Frigate,Navitas II,Fiber Composite,3417
Frigate,Navitas II,Heavy Metals,3228
Frigate,Navitas II,Reactive Metals,850
Frigate,Atron II,Atron II Blueprint,1
Frigate,Atron II,Tritanium,36363
Frigate,Atron II,Pyerite,8757
Frigate,Atron II,Mexallon,3316
Frigate,Atron II,Lustering Alloy,667
Frigate,Atron II,Sheen Compound,719
Frigate,Atron II,Motley Compound,672
Frigate,Atron II,Base Metals,201
Frigate,Atron II,Heavy Metals,719
Frigate,Atron Interceptor,Atron Interceptor Blueprint,1
Frigate,Atron Interceptor,Tritanium,1592919
Frigate,Atron Interceptor,Pyerite,531899
Frigate,Atron Interceptor,Mexallon,151189
Frigate,Atron Interceptor,Isogen,24083
Frigate,Atron Interceptor,Nocxium,8097
Frigate,Atron Interceptor,Zydrine,2955
Frigate,Atron Interceptor,Megacyte,1135
Frigate,Atron Interceptor,Sheen Compound,4640
Frigate,Atron Interceptor,Precious Alloy,3848
Frigate,Atron Interceptor,Fiber Composite,4910
Frigate,Atron Interceptor,Heavy Metals,4640
Frigate,Atron Interceptor,Reactive Metals,1221
Frigate,Atron II Interceptor,Atron II Interceptor Blueprint,1
Frigate,Atron II Interceptor,Tritanium,7516250
Frigate,Atron II Interceptor,Pyerite,1571187
Frigate,Atron II Interceptor,Mexallon,663493
Frigate,Atron II Interceptor,Isogen,90554
Frigate,Atron II Interceptor,Nocxium,23507
Frigate,Atron II Interceptor,Zydrine,10290
Frigate,Atron II Interceptor,Megacyte,5167
Frigate,Atron II Interceptor,Sheen Compound,16173
Frigate,Atron II Interceptor,Precious Alloy,13413
Frigate,Atron II Interceptor,Fiber Composite,17117
Frigate,Atron II Interceptor,Heavy Metals,16173
Frigate,Atron II Interceptor,Reactive Metals,4256
Frigate,Incursus Assault,Incursus Assault Blueprint,1
Frigate,Incursus Assault,Tritanium,1341390
Frigate,Incursus Assault,Pyerite,330120
Frigate,Incursus Assault,Mexallon,113229
Frigate,Incursus Assault,Isogen,17040
Frigate,Incursus Assault,Nocxium,5552
Frigate,Incursus Assault,Zydrine,1740
Frigate,Incursus Assault,Sheen Compound,4330
Frigate,Incursus Assault,Precious Alloy,3591
Frigate,Incursus Assault,Fiber Composite,4583
Frigate,Incursus Assault,Heavy Metals,4330
Frigate,Incursus Assault,Reactive Metals,1140
Frigate,Nemesis,Nemesis Blueprint,1
Frigate,Nemesis,Tritanium,563396
Frigate,Nemesis,Pyerite,154091
Frigate,Nemesis,Mexallon,50112
Frigate,Nemesis,Isogen,8295
Frigate,Nemesis,Nocxium,2365
Frigate,Nemesis,Lustering Alloy,3077
Frigate,Nemesis,Sheen Compound,3315
Frigate,Nemesis,Fiber Composite,3509
Frigate,Nemesis,Heavy Metals,3315
Frigate,Nemesis,Reactive Metals,873
Frigate,Nemesis II,Nemesis II Blueprint,1
Frigate,Nemesis II,Tritanium,3290006
Frigate,Nemesis II,Pyerite,737830
Frigate,Nemesis II,Mexallon,259206
Frigate,Nemesis II,Isogen,47747
Frigate,Nemesis II,Nocxium,11660
Frigate,Nemesis II,Zydrine,4593
Frigate,Nemesis II,Megacyte,1886
Frigate,Nemesis II,Sheen Compound,11315
Frigate,Nemesis II,Precious Alloy,9384
Frigate,Nemesis II,Fiber Composite,11976
Frigate,Nemesis II,Heavy Metals,11315
Frigate,Nemesis II,Reactive Metals,2978
Frigate,Imicus Covert Ops,Imicus Covert Ops Blueprint,1
Frigate,Imicus Covert Ops,Tritanium,192244
Frigate,Imicus Covert Ops,Pyerite,52256
Frigate,Imicus Covert Ops,Mexallon,15638
Frigate,Imicus Covert Ops,Isogen,2265
Frigate,Imicus Covert Ops,Lustering Alloy,1137
Frigate,Imicus Covert Ops,Sheen Compound,1225
Frigate,Imicus Covert Ops,Motley Compound,1144
Frigate,Imicus Covert Ops,Base Metals,341
Frigate,Imicus Covert Ops,Heavy Metals,1225
Frigate,Worm,Worm Blueprint,1
Frigate,Worm,Tritanium,13729037
Frigate,Worm,Pyerite,4116171
Frigate,Worm,Mexallon,1350259
Frigate,Worm,Isogen,200324
Frigate,Worm,Nocxium,45509
Frigate,Worm,Condensed Alloy,30200
Frigate,Worm,Precious Alloy,23665
Frigate,Worm,Fiber Composite,30200
Frigate,Worm,Reactive Metals,7509
Frigate,Worm,Toxic Metals,7448
Frigate,Dramiel,Dramiel Blueprint,1
Frigate,Dramiel,Tritanium,14042281
Frigate,Dramiel,Pyerite,3409566
Frigate,Dramiel,Mexallon,1234992
Frigate,Dramiel,Isogen,237802
Frigate,Dramiel,Nocxium,57477
Frigate,Dramiel,Condensed Alloy,30239
Frigate,Dramiel,Precious Alloy,23695
Frigate,Dramiel,Fiber Composite,30239
Frigate,Dramiel,Reactive Metals,7519
Frigate,Dramiel,Toxic Metals,7457
Frigate,Cruor,Cruor Blueprint,1
Frigate,Cruor,Tritanium,16951751
Frigate,Cruor,Pyerite,3365928
Frigate,Cruor,Mexallon,1217548
Frigate,Cruor,Isogen,187742
Frigate,Cruor,Nocxium,49487
Frigate,Cruor,Condensed Alloy,28899
Frigate,Cruor,Precious Alloy,22645
Frigate,Cruor,Fiber Composite,28899
Frigate,Cruor,Reactive Metals,7186
Frigate,Cruor,Toxic Metals,7127
Frigate,Astero,Astero Blueprint,1
Frigate,Astero,Tritanium,14227048
Frigate,Astero,Pyerite,3454428
Frigate,Astero,Mexallon,1251242
Frigate,Astero,Isogen,240931
Frigate,Astero,Nocxium,58233
Frigate,Astero,Condensed Alloy,30637
Frigate,Astero,Precious Alloy,24007
Frigate,Astero,Fiber Composite,30637
Frigate,Astero,Reactive Metals,7618
Frigate,Astero,Toxic Metals,7555
Frigate,Garmur,Garmur Blueprint,1
Frigate,Garmur,Tritanium,13363336
Frigate,Garmur,Pyerite,4006528
Frigate,Garmur,Mexallon,1314292
Frigate,Garmur,Isogen,194988
Frigate,Garmur,Nocxium,44297
Frigate,Garmur,Condensed Alloy,29396
Frigate,Garmur,Precious Alloy,23034
Frigate,Garmur,Fiber Composite,29396
Frigate,Garmur,Reactive Metals,7309
Frigate,Garmur,Toxic Metals,7249
Frigate,Succubus,Succubus Blueprint,1
Frigate,Succubus,Tritanium,17281100
Frigate,Succubus,Pyerite,3431323
Frigate,Succubus,Mexallon,1241203
Frigate,Succubus,Isogen,191389
Frigate,Succubus,Nocxium,50448
Frigate,Succubus,Condensed Alloy,29461
Frigate,Succubus,Precious Alloy,23085
Frigate,Succubus,Fiber Composite,29461
Frigate,Succubus,Reactive Metals,7325
Frigate,Succubus,Toxic Metals,7265
Frigate,Daredevil,Daredevil Blueprint,1
Frigate,Daredevil,Tritanium,13518575
Frigate,Daredevil,Pyerite,3910893
Frigate,Daredevil,Mexallon,1331088
Frigate,Daredevil,Isogen,191175
Frigate,Daredevil,Nocxium,51990
Frigate,Daredevil,Condensed Alloy,30060
Frigate,Daredevil,Precious Alloy,23555
Frigate,Daredevil,Fiber Composite,30060
Frigate,Daredevil,Reactive Metals,7475
Frigate,Daredevil,Toxic Metals,7413
Destroyer,Cormorant Guardian,Cormorant Guardian Blueprint,1
Destroyer,Cormorant Guardian,Tritanium,264691
Destroyer,Cormorant Guardian,Pyerite,74565
Destroyer,Cormorant Guardian,Mexallon,21506
Destroyer,Cormorant Guardian,Isogen,3217
Destroyer,Cormorant Guardian,Lustering Alloy,1548
Destroyer,Cormorant Guardian,Gleaming Alloy,1558
Destroyer,Cormorant Guardian,Motley Compound,1558
Destroyer,Cormorant Guardian,Base Metals,465
Destroyer,Cormorant Guardian,Noble Metals,1765
Destroyer,Corax,Corax Blueprint,1
Destroyer,Corax,Tritanium,59268
Destroyer,Corax,Pyerite,14792
Destroyer,Corax,Mexallon,5398
Destroyer,Corax,Lustering Alloy,1076
Destroyer,Corax,Gleaming Alloy,1083
Destroyer,Corax,Motley Compound,1083
Destroyer,Corax,Base Metals,323
Destroyer,Corax,Noble Metals,1227
Destroyer,Cormorant II,Cormorant II Blueprint,1
Destroyer,Cormorant II,Tritanium,57073
Destroyer,Cormorant II,Pyerite,14244
Destroyer,Cormorant II,Mexallon,5198
Destroyer,Cormorant II,Lustering Alloy,1036
Destroyer,Cormorant II,Gleaming Alloy,1043
Destroyer,Cormorant II,Motley Compound,1043
Destroyer,Cormorant II,Base Metals,311
Destroyer,Cormorant II,Noble Metals,1181
Destroyer,Cormorant Navy Issue,Cormorant Navy Issue Blueprint,1
Destroyer,Cormorant Navy Issue,Tritanium,262044
Destroyer,Cormorant Navy Issue,Pyerite,73819
Destroyer,Cormorant Navy Issue,Mexallon,21291
Destroyer,Cormorant Navy Issue,Isogen,3185
Destroyer,Cormorant Navy Issue,Lustering Alloy,1532
Destroyer,Cormorant Navy Issue,Gleaming Alloy,1542
Destroyer,Cormorant Navy Issue,Motley Compound,1542
Destroyer,Cormorant Navy Issue,Base Metals,460
Destroyer,Cormorant Navy Issue,Noble Metals,1747
Destroyer,Corax Assault,Corax Assault Blueprint,1
Destroyer,Corax Assault,Tritanium,2121717
Destroyer,Corax Assault,Pyerite,541143
Destroyer,Corax Assault,Mexallon,178891
Destroyer,Corax Assault,Isogen,27809
Destroyer,Corax Assault,Nocxium,7569
Destroyer,Corax Assault,Zydrine,2673
Destroyer,Corax Assault,Gleaming Alloy,6328
Destroyer,Corax Assault,Precious Alloy,5619
Destroyer,Corax Assault,Lucent Compound,6775
Destroyer,Corax Assault,Reactive Metals,1783
Destroyer,Corax Assault,Noble Metals,7170
Destroyer,Corax Sniper,Corax Sniper Blueprint,1
Destroyer,Corax Sniper,Tritanium,830809
Destroyer,Corax Sniper,Pyerite,235490
Destroyer,Corax Sniper,Mexallon,73813
Destroyer,Corax Sniper,Isogen,12621
Destroyer,Corax Sniper,Nocxium,3006
Destroyer,Corax Sniper,Lustering Alloy,4488
Destroyer,Corax Sniper,Gleaming Alloy,4517
Destroyer,Corax Sniper,Lucent Compound,4836
Destroyer,Corax Sniper,Reactive Metals,1273
Destroyer,Corax Sniper,Noble Metals,5118
Destroyer,Cormorant Covert Ops,Cormorant Covert Ops Blueprint,1
Destroyer,Cormorant Covert Ops,Tritanium,9702959
Destroyer,Cormorant Covert Ops,Pyerite,2375071
Destroyer,Cormorant Covert Ops,Mexallon,916674
Destroyer,Cormorant Covert Ops,Isogen,176450
Destroyer,Cormorant Covert Ops,Nocxium,51043
Destroyer,Cormorant Covert Ops,Zydrine,15221
Destroyer,Cormorant Covert Ops,Megacyte,7630
Destroyer,Cormorant Covert Ops,Gleaming Alloy,23282
Destroyer,Cormorant Covert Ops,Precious Alloy,20670
Destroyer,Cormorant Covert Ops,Lucent Compound,24923
Destroyer,Cormorant Covert Ops,Reactive Metals,6559
Destroyer,Cormorant Covert Ops,Noble Metals,26378
Destroyer,Thrasher Guardian,Thrasher Guardian Blueprint,1
Destroyer,Thrasher Guardian,Tritanium,284424
Destroyer,Thrasher Guardian,Pyerite,64889
Destroyer,Thrasher Guardian,Mexallon,20665
Destroyer,Thrasher Guardian,Isogen,4012
Destroyer,Thrasher Guardian,Lustering Alloy,1628
Destroyer,Thrasher Guardian,Gleaming Alloy,1639
Destroyer,Thrasher Guardian,Motley Compound,1639
Destroyer,Thrasher Guardian,Base Metals,489
Destroyer,Thrasher Guardian,Noble Metals,1857
Destroyer,Talwar,Talwar Blueprint,1
Destroyer,Talwar,Tritanium,58851
Destroyer,Talwar,Pyerite,11895
Destroyer,Talwar,Mexallon,4793
Destroyer,Talwar,Lustering Alloy,1046
Destroyer,Talwar,Gleaming Alloy,1053
Destroyer,Talwar,Motley Compound,1053
Destroyer,Talwar,Base Metals,314
Destroyer,Talwar,Noble Metals,1192
Destroyer,Thrasher II,Thrasher II Blueprint,1
Destroyer,Thrasher II,Tritanium,61631
Destroyer,Thrasher II,Pyerite,12457
